Team,City,Nickname,Code
ANA,Los Angeles,Angels,LAAngels
ARI,Arizona,Diamondbacks,Arizona
ATL,Atlanta,Braves,Atlanta
BAL,Baltimore,Orioles,Baltimore
BOS,Boston,Red Sox,Boston
CHA,Chicago,White Sox,ChiSox
CHN,Chicago,Cubs,ChiCubs
CIN,Cincinnati,Reds,Cincinnati
CLE,Cleveland,Indians,Cleveland
COL,Colorado,Rockies,Colorado
DET,Detroit,Tigers,Detroit
HOU,Houston,Astros,Houston
KCA,Kansas City,Royals,KansasCity
LAN,Los Angeles,Dodgers,LADodgers
MIA,Miami,Marlins,Miami
MIL,Milwaukee,Brewers,Milwaukee
MIN,Minnesota,Twins,Minnesota
NYA,New York,Yankees,NYYankees
NYN,New York,Mets,NYMets
OAK,Oakland,Athletics,Oakland
PHI,Philadelphia,Phillies,Philadelphia
PIT,Pittsburgh,Pirates,Pittsburgh
SDN,San Diego,Padres,SanDiego
SEA,Seattle,Mariners,Seattle
SFN,San Francisco,Giants,SFGiants
SLN,St. Louis,Cardinals,StLouis
TBA,Tampa Bay,Rays,TampaBay
TEX,Texas,Rangers,Texas
TOR,Toronto,Blue Jays,Toronto
WAS,Washington,Nationals,Washington
