Tm,Code,Text
ARI,#97233F,#FFFFFF
ATL,#A71930,#FFFFFF
BAL,#241773,#FFFFFF
BUF,#C60C30,#FFFFFF
CAR,#0085CA,#FFFFFF
CHI,#0B162A,#FFFFFF
CIN,#FB4F14,#FFFFFF
CLE,#311D00,#FFFFFF
DAL,#041E42,#FFFFFF
DEN,#002244,#FFFFFF
DET,#0076B6,#FFFFFF
GNB,#203731,#FFFFFF
HOU,#03202F,#FFFFFF
IND,#002C5F,#FFFFFF
JAX,#006778,#FFFFFF
KAN,#E31837,#FFFFFF
LAC,#002A5E,#FFFFFF
LAR,#003594,#FFFFFF
MIA,#008E97,#FFFFFF
MIN,#4F2683,#FFFFFF
NWE,#B0B7BC,#000000
NOR,#D3BC8D,#000000
NYG,#0B2265,#FFFFFF
NYJ,#125740,#FFFFFF
LVR,#000000,#FFFFFF
PHI,#004C54,#FFFFFF
PIT,#FFB612,#000000
SFO,#AA0000,#FFFFFF
SEA,#69BE28,#000000
TAM,#D50A0A,#FFFFFF
TEN,#0C2340,#FFFFFF
WAS,#773141,#FFFFFF
